#
TITLE=""
VARIABLES="X", "Y", "Z", "M", "Id"
ZONE T="ZONE 1"
NODES=42
ELEMENTS=80
DATAPACKING=BLOCK
ZONETYPE=FETRIANGLE
VARLOCATION=([4-5]=CELLCENTERED)
0.000000000000000000e+00 4.253226816654205322e-01 -1.624555587768554688e-01 7.236073017120361328e-01 8.506478667259216309e-01 -5.257297754287719727e-01 -1.624555587768554688e-01 4.253226816654205322e-01 9.510578513145446777e-01 -2.763880193233489990e-01 2.628688216209411621e-01 0.000000000000000000e+00 -8.944262266159057617e-01 -6.881893873214721680e-01 -9.510578513145446777e-01 -2.763880193233489990e-01 -6.881893873214721680e-01 -5.877856016159057617e-01 7.236073017120361328e-01 2.628688216209411621e-01 5.877856016159057617e-01 5.877856016159057617e-01 -5.877856016159057617e-01 -9.510578513145446777e-01 0.000000000000000000e+00 9.510578513145446777e-01 2.763880193233489990e-01 6.881893873214721680e-01 1.624555587768554688e-01 -7.236073017120361328e-01 -2.628688216209411621e-01 -4.253226816654205322e-01 -7.236073017120361328e-01 -8.506478667259216309e-01 -4.253226816654205322e-01 2.763880193233489990e-01 -2.628688216209411621e-01 1.624555587768554688e-01 8.944262266159057617e-01 6.881893873214721680e-01 5.257297754287719727e-01 0.000000000000000000e+00 
0.000000000000000000e+00 -3.090113997459411621e-01 -4.999952614307403564e-01 -5.257253050804138184e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.999952614307403564e-01 3.090113997459411621e-01 -3.090126216411590576e-01 -8.506492376327514648e-01 -8.090116381645202637e-01 -9.999999403953552246e-01 0.000000000000000000e+00 -4.999969303607940674e-01 -3.090126216411590576e-01 8.506492376327514648e-01 4.999969303607940674e-01 8.090167045593261719e-01 5.257253050804138184e-01 8.090116381645202637e-01 8.090167045593261719e-01 -8.090167045593261719e-01 -8.090167045593261719e-01 3.090126216411590576e-01 9.999999403953552246e-01 3.090126216411590576e-01 -8.506492376327514648e-01 -4.999969303607940674e-01 -4.999952614307403564e-01 -5.257253050804138184e-01 -8.090116381645202637e-01 -3.090113997459411621e-01 5.257253050804138184e-01 0.000000000000000000e+00 3.090113997459411621e-01 8.506492376327514648e-01 8.090116381645202637e-01 4.999952614307403564e-01 0.000000000000000000e+00 4.999969303607940674e-01 0.000000000000000000e+00 0.000000000000000000e+00 
-1.000000000000000000e+00 -8.506541848182678223e-01 -8.506544232368469238e-01 -4.472195208072662354e-01 -5.257359147071838379e-01 -8.506516814231872559e-01 -8.506544232368469238e-01 -8.506541848182678223e-01 0.000000000000000000e+00 -4.472198486328125000e-01 -5.257376432418823242e-01 0.000000000000000000e+00 -4.472156167030334473e-01 -5.257362127304077148e-01 0.000000000000000000e+00 -4.472198486328125000e-01 -5.257362127304077148e-01 0.000000000000000000e+00 -4.472195208072662354e-01 -5.257376432418823242e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.472198486328125000e-01 5.257362127304077148e-01 8.506543636322021484e-01 4.472195208072662354e-01 5.257376432418823242e-01 8.506541848182678223e-01 4.472195208072662354e-01 5.257359147071838379e-01 8.506541848182678223e-01 4.472198486328125000e-01 5.257376432418823242e-01 8.506543636322021484e-01 4.472156167030334473e-01 5.257362127304077148e-01 8.506516814231872559e-01 1.000000000000000000e+00 
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 
0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 6.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01 1.200000000000000000e+01 1.300000000000000000e+01 1.400000000000000000e+01 1.500000000000000000e+01 1.600000000000000000e+01 1.700000000000000000e+01 1.800000000000000000e+01 1.900000000000000000e+01 2.000000000000000000e+01 2.100000000000000000e+01 2.200000000000000000e+01 2.300000000000000000e+01 2.400000000000000000e+01 2.500000000000000000e+01 2.600000000000000000e+01 2.700000000000000000e+01 2.800000000000000000e+01 2.900000000000000000e+01 3.000000000000000000e+01 3.100000000000000000e+01 3.200000000000000000e+01 3.300000000000000000e+01 3.400000000000000000e+01 3.500000000000000000e+01 3.600000000000000000e+01 3.700000000000000000e+01 3.800000000000000000e+01 3.900000000000000000e+01 4.000000000000000000e+01 4.100000000000000000e+01 4.200000000000000000e+01 4.300000000000000000e+01 4.400000000000000000e+01 4.500000000000000000e+01 4.600000000000000000e+01 4.700000000000000000e+01 4.800000000000000000e+01 4.900000000000000000e+01 5.000000000000000000e+01 5.100000000000000000e+01 5.200000000000000000e+01 5.300000000000000000e+01 5.400000000000000000e+01 5.500000000000000000e+01 5.600000000000000000e+01 5.700000000000000000e+01 5.800000000000000000e+01 5.900000000000000000e+01 6.000000000000000000e+01 6.100000000000000000e+01 6.200000000000000000e+01 6.300000000000000000e+01 6.400000000000000000e+01 6.500000000000000000e+01 6.600000000000000000e+01 6.700000000000000000e+01 6.800000000000000000e+01 6.900000000000000000e+01 7.000000000000000000e+01 7.100000000000000000e+01 7.200000000000000000e+01 7.300000000000000000e+01 7.400000000000000000e+01 7.500000000000000000e+01 7.600000000000000000e+01 7.700000000000000000e+01 7.800000000000000000e+01 7.900000000000000000e+01 
